X,Y,Z
175,-39,-91
145,-22,-51
101,-2,5
87,-9,18
113,-30,-30
137,-34,-66
132,-13,-70
118,7,-10
76,-15,19
81,-34,40
84,-8,9
75,-26,7
64,-53,82
65,-74,92
63,-48,6
56,-75,-42
91,-96,-53
112,-99,-70
84,-97,-44
54,-71,-46
36,-74,-56
87,-76,-59
78,-96,15
41,-82,17
17,-33,-19
24,-23,-6
20,-41,38
30,-28,31
30,-57,-21
61,-60,-18
36,-55,-10
-26,-35,-44
-14,-32,-41
-11,-80,-15
-28,-97,19
-25,-56,27
-38,-43,6
2,0,-12
7,-8,-35
-16,-34,-87
16,-35,-158
73,-53,-178
84,-37,-145
107,12,-115
116,52,30
99,16,180
73,-49,270
48,-61,318
-2,13,276
-39,30,222
-14,-6,212
22,-6,158
17,68,56
32,97,-63
68,121,-172
64,109,-175
85,86,-149
122,47,-128
112,8,-13
130,-21,-28
179,-13,-64
178,6,0
94,28,97
57,54,86
98,51,19
106,18,33
98,22,72
104,26,11
136,12,-43
145,14,-81
157,15,-30
99,53,14
78,36,8
103,17,-16
97,39,0
48,57,52
11,74,43
-6,74,25
-1,66,-1
12,62,-68
13,65,7
-6,69,-14
-8,54,-13
0,34,23
36,26,75
65,28,60
72,30,98
71,42,51
62,40,30
28,12,48
28,26,62
11,72,37
19,56,-20
13,78,-80
10,95,-81
26,67,-53
28,64,-63
26,58,-50
22,70,-40
45,45,-67
64,47,-47
28,34,-8
2,-9,-1
66,-26,-37
69,-19,-42
32,2,41
-19,21,104
-48,16,124
-27,14,46
5,20,-82
7,12,-68
3,-16,-57
-16,0,-65
-23,50,-79
-41,61,-3
-65,30,12
0,17,-25
18,-10,-38
26,-26,-8
-39,-57,65
-90,-41,65
-76,41,-8
-114,64,-31
-99,83,2
-81,52,-10
-30,-2,-89
24,-11,-94
32,-2,-64
30,0,-25
1,2,21
-14,12,65
-36,25,92
-24,41,97
-56,36,104
-58,21,22
-65,22,29
-38,26,22
-75,13,36
-50,-26,7
-8,-30,-56
-24,-34,-49
-50,6,-31
-52,13,3
-44,2,-8
-45,6,14
-56,-22,-7
-37,-8,-22
-64,-6,-64
-52,-19,-29
-46,-42,46
-55,-21,25
-22,-70,29
43,-74,-47
41,-84,-31
32,-38,2
18,-16,-7
15,41,-16
15,71,-43
25,81,-29
17,95,60
-33,77,119
-46,54,152
-20,41,91
6,31,27
30,8,36
28,-19,59
14,-39,52
70,-66,-5
90,-97,-19
44,-75,-13
-11,-17,-52
-24,21,-70
-24,22,1
-42,44,-36
-44,49,-26
-30,54,-71
-23,54,-25
5,39,-66
5,36,-99
21,33,-74
36,-9,16
81,-39,5
95,-30,-55
104,-32,-42
82,-30,14
54,-36,59
38,-13,57
36,-5,16
42,-18,56
15,-12,51
29,-8,-2
32,-8,-15
16,-39,87
22,-78,110
32,-85,60
24,-42,-4
-10,-6,-62
-11,41,-56
-24,52,-68
-3,48,-93
-1,32,-61
0,18,-5
-11,8,-35
8,0,-45
12,-8,-56
28,2,-77
38,26,-93
24,52,-47
2,40,45
20,40,74
70,-28,99
64,-19,144
-8,-42,161
-5,-59,71
58,-53,-58
36,-9,-142
18,28,-160
-12,80,-117
-18,56,-67
-25,76,5
-5,49,67
36,39,26
38,19,104
25,14,127
-2,3,160
8,12,140
12,6,70
60,28,-67
70,12,-103
38,32,-22
-17,3,36
-28,47,15
-44,72,-41
-13,80,-56
-9,45,-51
-23,33,-19
4,9,-11
16,-20,35
4,-3,-11
-26,1,-21
-35,52,-51
-11,89,-84
-22,98,-53
-7,100,-48
5,70,-38
44,-12,60
36,-26,37
70,-10,70
49,-20,90
16,-31,115
18,-32,109
16,-6,51
22,16,-17
-2,32,-31
-12,20,-13
28,7,-35
38,5,-28
21,-28,53
-8,-39,39
39,-26,-39
20,28,-93
0,24,-57
10,18,1
-7,36,10
-10,27,-43
34,5,-14
6,23,54
-2,44,99
-3,16,145
23,-30,95
40,-13,13
54,-2,-68
46,-4,-40
8,-10,-3
46,-34,-6
60,-42,-75
60,-25,-124
71,-36,-79
55,-63,8
24,-54,99
-12,-30,90
-12,1,52
-18,49,-18
20,28,-31
24,22,-64
6,47,-99
39,26,-91
49,12,-61
30,4,-13
2,7,69
18,-2,50
46,12,12
40,5,-2
38,0,31
25,-21,39
24,-16,52
14,-28,28
10,-20,7
17,-2,30
-19,-19,58
10,-31,8
63,-34,-50
33,-24,-83
23,16,-23
16,7,-28
12,-11,-26
32,-6,-45
2,-20,-5
-26,-13,25
2,-43,-14
21,-46,-43
-8,-44,-84
25,-74,-59
20,-78,-71
-4,-58,-30
-42,-34,-35
-28,-22,-55
-10,-3,-99
-60,54,-68
-81,81,-10
-100,75,18
-85,64,-1
-72,70,-61
-70,113,-91
-81,108,-91
-128,64,31
-157,22,151
-258,84,194
-266,219,151
-220,260,-66
-144,196,-108
-71,100,-78
-46,56,-23
-50,58,22
-65,50,81
-50,64,104
-51,70,109
-21,76,102
-30,109,46
-28,108,37
-68,133,75
-43,114,71
-46,117,35
-56,210,-88
-58,185,-22
-64,198,54
-76,200,91
-127,188,141
-189,161,254
-156,128,216
-145,79,154
-121,115,85
-141,105,4
-117,85,-43
-94,58,-38
-96,18,-10
-103,37,-23
-62,14,-30
-47,5,-68
-57,-18,-89
-79,-3,-41
-71,34,-58
-77,62,-110
-58,75,-116
-49,106,-75
-58,110,-31
-64,88,65
-85,85,112
-83,118,83
-68,122,4
-36,111,-40
-19,123,-62
-51,107,11
-56,109,9
-22,76,-13
-23,57,9
-46,59,36
-59,51,47
-62,22,45
-53,18,-23
-64,6,-89
-62,14,-98
-84,49,-109
-70,6,-66
-98,8,-38
-74,-19,-66
-36,-45,-63
-17,-68,-21
11,-79,-24
1,-41,-17
-28,23,-81
-6,51,-96
59,-22,-52
101,-94,54
83,-91,175
20,-121,300
-12,-76,262
-54,-42,190
-60,-28,72
-24,-11,-64
-55,7,-62
-163,-5,67
-167,-13,105
-116,-22,26
-114,-40,-9
-127,-46,-101
-28,-43,-135
14,-88,-90
17,-139,-5
55,-131,-51
100,-153,-72
82,-131,-104
44,-37,-145
28,-8,-141
5,-18,6
19,-21,100
8,-18,108
24,3,59
46,-2,-31
63,-16,13
70,-71,90
60,-41,71
47,-20,12
30,-20,-36
65,-17,-40
16,8,-46
-6,18,-20
-52,3,21
-28,2,12
-10,-2,-23
-27,4,-19
-60,-10,1
-47,-10,-54
6,-16,-135
-15,-12,-95
-88,3,66
-78,-48,72
-8,-36,-3
-4,-33,17
-20,11,71
-24,39,65
-4,25,51
14,16,79
4,-7,102
0,-2,93
3,4,43
15,50,-46
15,14,-81
41,-4,-70
35,-4,-4
-5,-4,66
-57,37,109
-42,9,117
5,-2,62
2,-12,3
-6,-46,39
16,-83,47
8,-114,4
2,-71,-101
7,-67,-140
14,-92,-81
6,-84,-60
-26,-79,-76
6,-118,-25
13,-70,-64
76,-65,-125
109,-61,-135
72,-36,20
28,-29,158
-14,-46,168
39,-94,84
-1,-64,-168
8,-44,-159
-8,-21,-150
-25,5,-134
-18,75,-128
-34,104,-79
-17,102,46
-7,105,160
9,126,162
34,156,156
39,115,158
44,80,191
15,33,322
-25,37,313
-34,10,232
-3,-51,77
16,6,-73
1,-8,-151
18,-112,-118
47,-169,-65
56,-162,-136
46,-140,-166
26,-117,-171
38,-88,-186
24,-49,-156
8,-50,-145
-8,32,-128
-10,71,-142
-44,115,-68
-35,68,41
-38,37,95
-31,-2,164
-27,-38,187
-24,-55,149
-10,-62,30
14,-37,-61
40,-7,-100
32,26,-78
-6,57,-24
-38,146,-37
3,151,-100
21,133,-187
16,100,-130
-14,48,-29
-40,38,39
-40,-40,113
-10,-112,93
-23,-154,213
-38,-165,196
10,-140,100
61,-107,49
52,-108,0
70,-71,-50
84,-31,-88
